trip_id,month,season,zone_id,zone_name,latitude,longitude,origin_harbour_id,distance_from_port_km,species,species_suitable_for_zone,gear_type,boat_type,trip_duration_hours,hour_of_day,sea_surface_temperature_c,chlorophyll_mg_m3,wave_height_m,wind_speed_kmh,wind_direction,rainfall_mm,zone_yield_score,fishing_effort_vessels,demand,catch_kg,market_price_per_kg,fuel_cost_inr,transport_cost_inr
DEMO-00017,5,pre_monsoon,PFZ-03,Wadge Bank Special Zone,7.827,77.2413,HBR-TUT,138.8,Tuna,1,Trawl,Mechanized Trawler,10.2,14,28.03,2.68,1.89,16.0,SE,6.5,98,10,High,99.1,394.23,4664.0,902.0
DEMO-00018,3,pre_monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.8701,80.2005,HBR-CHN,144.8,Pomfret,0,Longline,Mechanized Trawler,13.7,15,30.48,0.45,0.52,13.5,S,3.4,72,3,High,27.9,872.65,4865.0,941.0
DEMO-00019,2,pre_monsoon,PFZ-02,Mangaluru Shelf Front,12.7318,74.3738,HBR-MNG,62.3,Kingfish,1,Ring Seine,Mechanized Trawler,15.7,9,29.4,0.99,1.39,14.6,N,5.1,89,6,Medium,58.7,513.89,2093.0,405.0
DEMO-00020,9,monsoon,PFZ-03,Wadge Bank Special Zone,7.7984,77.2401,HBR-TUT,133.9,Pomfret,0,Ring Seine,Mechanized Trawler,12.4,17,27.74,2.21,1.48,20.6,W,11.5,98,14,High,31.7,656.3,4499.0,870.0
DEMO-00021,9,monsoon,PFZ-06,Veraval Saurashtra Bank,20.5717,70.2149,HBR-VER,40.0,Sardine,0,Trawl,Motorized,7.4,7,28.28,1.99,2.46,20.2,SW,13.5,91,11,Medium,66.9,148.69,840.0,260.0
DEMO-00022,12,post_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.8579,72.8406,HBR-MNG,513.4,Mackerel,1,Longline,Mechanized Trawler,12.3,17,29.19,1.58,0.46,13.9,W,2.7,78,2,High,178.0,270.71,17250.0,3337.0
DEMO-00023,4,pre_monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.9216,75.6778,HBR-KOC,79.4,Mackerel,1,Trawl,Mechanized Trawler,16.9,4,28.46,1.93,0.91,15.0,S,10.4,94,6,High,244.2,311.19,2668.0,516.0
DEMO-00024,7,monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.83,75.5657,HBR-KOC,75.7,Tuna,1,Hook & Line,Mechanized Trawler,15.2,17,28.39,1.56,1.62,22.4,S,6.1,94,8,High,53.3,349.03,2544.0,492.0
DEMO-00025,1,post_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.8813,72.8427,HBR-MNG,562.1,Mackerel,1,Longline,Mechanized Trawler,19.7,19,28.76,1.03,1.3,21.0,SW,34.2,78,4,High,99.7,314.26,18887.0,3654.0
DEMO-00026,2,pre_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.7824,72.9259,HBR-MNG,477.4,Pomfret,0,Hook & Line,Mechanized Trawler,16.6,9,28.34,1.09,1.05,18.9,NW,5.8,78,1,High,12.4,846.64,16041.0,3103.0
DEMO-00027,5,pre_monsoon,PFZ-06,Veraval Saurashtra Bank,20.6309,70.2252,HBR-VER,33.2,Tuna,0,Gillnet,Motorized,8.7,19,28.81,1.82,1.43,21.4,E,3.3,91,5,High,68.2,370.07,697.0,216.0
DEMO-00028,11,post_monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.8066,80.2275,HBR-CHN,137.1,Pomfret,0,Longline,Mechanized Trawler,14.3,5,28.71,0.39,1.27,16.3,NE,10.1,72,6,High,18.4,793.42,4607.0,891.0
DEMO-00029,5,pre_monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.8827,75.5541,HBR-KOC,75.0,Sardine,1,Hook & Line,Mechanized Trawler,15.6,8,29.22,1.91,1.63,14.3,NW,4.8,94,12,Medium,143.9,149.44,2520.0,488.0
DEMO-00030,11,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.8435,77.2768,HBR-TUT,166.4,Tuna,1,Gillnet,Mechanized Trawler,9.7,19,27.99,2.22,1.94,16.5,NE,3.5,98,11,High,62.1,348.77,5591.0,1082.0
DEMO-00031,6,monsoon,PFZ-05,Visakhapatnam Deep Front,17.4508,83.6265,HBR-VSK,43.5,Tuna,1,Ring Seine,Mechanized Trawler,11.5,9,29.25,1.55,1.92,17.7,NE,1.9,87,5,High,79.5,352.09,1462.0,283.0
DEMO-00032,3,pre_monsoon,PFZ-02,Mangaluru Shelf Front,12.8098,74.3673,HBR-MNG,54.7,Kingfish,1,Trawl,Mechanized Trawler,12.3,17,28.44,1.43,0.85,8.0,NW,4.2,89,6,Medium,100.6,506.16,1838.0,356.0
DEMO-00033,7,monsoon,PFZ-06,Veraval Saurashtra Bank,20.6519,70.1551,HBR-VER,33.4,Pomfret,1,Ring Seine,Mechanized Trawler,15.4,17,27.32,1.21,1.64,10.9,E,9.2,91,9,High,47.0,692.01,1122.0,217.0
DEMO-00034,6,monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.8787,80.2463,HBR-CHN,136.9,Kingfish,0,Ring Seine,Mechanized Trawler,14.5,5,28.71,0.57,1.68,22.2,SE,3.7,72,7,Medium,39.5,477.19,4600.0,890.0
DEMO-00035,3,pre_monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.7863,80.1445,HBR-CHN,153.8,Pomfret,0,Trawl,Mechanized Trawler,10.5,12,30.34,0.49,0.63,13.0,N,2.0,72,6,High,28.1,784.64,5168.0,1000.0
DEMO-00036,7,monsoon,PFZ-02,Mangaluru Shelf Front,12.6973,74.327,HBR-MNG,55.4,Kingfish,1,Longline,Mechanized Trawler,12.6,18,28.13,1.39,1.78,18.2,N,5.1,89,8,Medium,39.0,478.81,1861.0,360.0
DEMO-00037,7,monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.863,80.1447,HBR-CHN,154.6,Tuna,0,Ring Seine,Mechanized Trawler,10.2,5,27.92,0.97,1.51,17.4,SE,5.3,72,7,High,141.9,326.0,5195.0,1005.0
DEMO-00038,9,monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.9187,75.6529,HBR-KOC,68.0,Tuna,1,Hook & Line,Mechanized Trawler,9.6,9,28.32,2.35,1.49,26.2,NE,11.0,94,4,High,39.0,343.66,2285.0,442.0
DEMO-00039,2,pre_monsoon,PFZ-02,Mangaluru Shelf Front,12.7537,74.2774,HBR-MNG,63.8,Kingfish,1,Longline,Mechanized Trawler,15.4,5,28.15,1.27,1.05,14.6,NE,9.5,89,9,Medium,58.9,532.87,2144.0,415.0
DEMO-00040,11,post_monsoon,PFZ-06,Veraval Saurashtra Bank,20.6699,70.0887,HBR-VER,35.1,Pomfret,1,Longline,Motorized,10.2,7,27.9,1.9,1.74,11.9,E,4.8,91,9,High,21.4,765.55,737.0,228.0
DEMO-00041,4,pre_monsoon,PFZ-03,Wadge Bank Special Zone,7.9103,77.1747,HBR-TUT,162.4,Tuna,1,Hook & Line,Mechanized Trawler,17.8,6,27.67,1.8,1.53,14.4,W,9.3,98,13,High,87.1,379.98,5457.0,1056.0
DEMO-00042,6,monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.8341,75.5939,HBR-KOC,78.7,Tuna,1,Trawl,Mechanized Trawler,14.4,5,27.94,1.41,2.38,27.4,S,7.5,94,10,High,65.1,415.42,2644.0,512.0
DEMO-00043,1,post_monsoon,PFZ-05,Visakhapatnam Deep Front,17.5378,83.7695,HBR-VSK,53.0,Mackerel,0,Ring Seine,Mechanized Trawler,10.6,13,28.53,1.82,2.07,19.1,NW,17.6,87,9,High,79.4,299.2,1781.0,344.0
DEMO-00044,12,post_monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.9172,75.5754,HBR-KOC,80.8,Mackerel,1,Gillnet,Mechanized Trawler,16.1,18,28.31,1.7,2.41,18.7,SE,3.5,94,1,High,117.2,248.92,2715.0,525.0
DEMO-00045,6,monsoon,PFZ-03,Wadge Bank Special Zone,7.9238,77.1438,HBR-TUT,149.8,Tuna,1,Ring Seine,Mechanized Trawler,11.5,13,27.46,2.34,1.76,15.8,N,5.2,98,13,High,98.6,364.05,5033.0,974.0
DEMO-00046,1,post_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.7805,72.8941,HBR-MNG,516.1,Mackerel,1,Trawl,Mechanized Trawler,20.4,4,28.36,1.11,0.91,19.5,N,15.8,78,1,High,208.9,240.71,17341.0,3355.0
DEMO-00047,10,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.795,77.2346,HBR-TUT,153.7,Tuna,1,Gillnet,Mechanized Trawler,13.1,15,26.41,1.83,1.4,14.8,SE,20.2,98,11,High,80.5,343.88,5164.0,999.0
DEMO-00048,6,monsoon,PFZ-02,Mangaluru Shelf Front,12.8069,74.3528,HBR-MNG,62.7,Kingfish,1,Ring Seine,Mechanized Trawler,16.0,5,27.37,1.67,1.8,21.7,NE,1.9,89,3,Medium,82.2,453.66,2107.0,408.0
DEMO-00049,8,monsoon,PFZ-02,Mangaluru Shelf Front,12.7129,74.3199,HBR-MNG,66.0,Kingfish,1,Longline,Mechanized Trawler,17.3,6,27.44,1.79,1.01,31.2,SE,21.4,89,1,Medium,55.0,401.88,2218.0,429.0
DEMO-00050,8,monsoon,PFZ-03,Wadge Bank Special Zone,7.8113,77.1423,HBR-TUT,168.1,Tuna,1,Hook & Line,Mechanized Trawler,19.4,6,27.04,2.08,2.2,22.2,NW,15.4,98,14,High,31.3,347.91,5648.0,1093.0
DEMO-00051,1,post_monsoon,PFZ-02,Mangaluru Shelf Front,12.7764,74.2481,HBR-MNG,66.3,Kingfish,1,Longline,Mechanized Trawler,18.1,6,28.92,1.59,0.53,18.9,SE,5.6,89,10,Medium,70.9,520.08,2228.0,431.0
DEMO-00052,1,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.8175,77.2106,HBR-TUT,134.8,Tuna,1,Longline,Mechanized Trawler,17.4,6,27.43,1.61,1.11,17.1,SW,6.4,98,9,High,171.3,364.07,4529.0,876.0
DEMO-00053,6,monsoon,PFZ-07,Ratnagiri Deep Shelf,16.782,72.8865,HBR-MNG,469.3,Mackerel,1,Longline,Mechanized Trawler,13.1,7,30.04,1.27,2.03,14.8,N,0.5,78,3,High,111.6,264.14,15768.0,3050.0
DEMO-00054,6,monsoon,PFZ-03,Wadge Bank Special Zone,7.8567,77.2597,HBR-TUT,163.3,Tuna,1,Longline,Mechanized Trawler,10.7,19,27.16,2.01,1.27,27.0,SW,8.6,98,11,High,89.9,377.8,5487.0,1061.0
DEMO-00055,5,pre_monsoon,PFZ-05,Visakhapatnam Deep Front,17.4254,83.7316,HBR-VSK,52.7,Tuna,1,Trawl,Mechanized Trawler,16.0,5,29.26,1.72,0.41,13.7,SE,26.4,87,4,High,203.0,360.86,1771.0,343.0
DEMO-00056,11,post_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.886,72.7805,HBR-MNG,501.2,Kingfish,0,Trawl,Mechanized Trawler,11.4,6,28.36,1.14,1.06,20.5,W,12.2,78,6,Medium,56.8,396.16,16840.0,3258.0
DEMO-00057,8,monsoon,PFZ-06,Veraval Saurashtra Bank,20.6343,70.1468,HBR-VER,37.3,Pomfret,1,Longline,Motorized,11.1,19,27.6,2.35,1.15,25.3,SE,0.2,91,6,High,26.4,745.76,783.0,242.0
DEMO-00058,7,monsoon,PFZ-07,Ratnagiri Deep Shelf,16.8787,72.8049,HBR-MNG,494.2,Mackerel,1,Hook & Line,Mechanized Trawler,9.2,6,27.49,0.98,1.37,26.4,NE,1.1,78,1,High,48.7,245.54,16605.0,3212.0
DEMO-00059,11,post_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.826,72.7793,HBR-MNG,500.3,Mackerel,1,Hook & Line,Mechanized Trawler,15.4,6,27.92,1.11,1.79,24.2,N,5.0,78,1,High,51.3,237.73,16810.0,3252.0
DEMO-00060,5,pre_monsoon,PFZ-06,Veraval Saurashtra Bank,20.5907,70.2122,HBR-VER,33.2,Tuna,0,Trawl,Motorized,7.1,5,29.03,2.61,0.78,10.5,W,4.6,91,10,High,143.5,384.38,697.0,216.0
DEMO-00061,3,pre_monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.9062,80.1992,HBR-CHN,141.9,Mackerel,0,Trawl,Mechanized Trawler,12.7,6,29.0,0.95,0.48,10.3,W,7.7,72,5,High,301.2,287.01,4768.0,922.0
DEMO-00062,9,monsoon,PFZ-06,Veraval Saurashtra Bank,20.6816,70.1788,HBR-VER,37.8,Pomfret,1,Longline,Motorized,10.1,18,28.06,2.13,2.02,20.6,N,15.3,91,10,High,15.5,749.98,794.0,246.0
DEMO-00063,10,post_monsoon,PFZ-02,Mangaluru Shelf Front,12.671,74.2659,HBR-MNG,65.7,Kingfish,1,Longline,Mechanized Trawler,14.1,18,27.34,1.59,1.19,16.8,S,2.8,89,9,Medium,60.1,431.68,2208.0,427.0
DEMO-00064,7,monsoon,PFZ-05,Visakhapatnam Deep Front,17.4364,83.77,HBR-VSK,50.1,Tuna,1,Hook & Line,Mechanized Trawler,15.5,7,28.92,1.67,1.62,23.5,NW,13.7,87,4,High,46.7,358.55,1683.0,326.0
DEMO-00065,6,monsoon,PFZ-03,Wadge Bank Special Zone,7.8793,77.1913,HBR-TUT,135.5,Tuna,1,Ring Seine,Mechanized Trawler,17.9,4,27.82,1.92,2.3,14.8,SE,0.4,98,11,High,98.7,314.82,4553.0,881.0
DEMO-00066,8,monsoon,PFZ-02,Mangaluru Shelf Front,12.7336,74.2639,HBR-MNG,63.1,Kingfish,1,Hook & Line,Mechanized Trawler,18.6,19,27.62,1.02,1.87,19.6,N,10.2,89,2,Medium,23.3,438.91,2120.0,410.0
DEMO-00067,6,monsoon,PFZ-07,Ratnagiri Deep Shelf,16.8933,72.9052,HBR-MNG,469.1,Mackerel,1,Gillnet,Mechanized Trawler,14.9,5,28.8,1.29,1.2,29.6,NW,19.2,78,4,High,112.0,293.48,15762.0,3049.0
DEMO-00068,1,post_monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.7803,75.6131,HBR-KOC,82.3,Mackerel,1,Trawl,Mechanized Trawler,13.9,8,28.82,1.58,1.22,23.3,N,0.9,94,3,High,202.1,278.27,2765.0,535.0
DEMO-00069,12,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.8087,77.2779,HBR-TUT,133.5,Tuna,1,Gillnet,Mechanized Trawler,11.6,18,28.21,1.72,1.06,4.0,NE,6.3,98,11,High,171.5,339.78,4486.0,868.0
DEMO-00070,6,monsoon,PFZ-05,Visakhapatnam Deep Front,17.5108,83.7303,HBR-VSK,49.3,Tuna,1,Gillnet,Mechanized Trawler,11.5,4,28.64,1.62,1.85,12.2,SE,0.9,87,3,High,91.9,363.99,1656.0,320.0
DEMO-00071,3,pre_monsoon,PFZ-02,Mangaluru Shelf Front,12.6828,74.3632,HBR-MNG,62.2,Kingfish,1,Gillnet,Mechanized Trawler,16.6,18,28.74,1.66,1.13,10.8,W,7.4,89,4,Medium,98.9,516.24,2090.0,404.0
DEMO-00072,4,pre_monsoon,PFZ-03,Wadge Bank Special Zone,7.8589,77.2351,HBR-TUT,152.5,Tuna,1,Trawl,Mechanized Trawler,13.9,17,27.33,1.91,0.81,11.6,SW,12.3,98,18,High,190.7,376.2,5124.0,991.0
DEMO-00073,5,pre_monsoon,PFZ-02,Mangaluru Shelf Front,12.828,74.2264,HBR-MNG,53.9,Kingfish,1,Longline,Mechanized Trawler,10.9,8,28.86,1.73,0.98,5.7,E,12.2,89,1,Medium,70.7,500.27,1811.0,350.0
DEMO-00074,6,monsoon,PFZ-03,Wadge Bank Special Zone,7.8873,77.1411,HBR-TUT,151.0,Sardine,0,Ring Seine,Mechanized Trawler,17.7,6,28.08,2.16,1.68,26.8,NE,3.1,98,16,Medium,250.6,160.48,5074.0,982.0
DEMO-00075,6,monsoon,PFZ-02,Mangaluru Shelf Front,12.6962,74.2826,HBR-MNG,67.1,Kingfish,1,Hook & Line,Mechanized Trawler,16.9,11,28.01,1.79,1.75,28.3,NE,2.7,89,1,Medium,17.4,505.18,2255.0,436.0
DEMO-00076,4,pre_monsoon,PFZ-06,Veraval Saurashtra Bank,20.5967,70.0968,HBR-VER,40.4,Pomfret,1,Trawl,Mechanized Trawler,17.8,6,28.09,2.41,1.13,7.6,S,2.5,91,11,High,74.6,912.13,1357.0,263.0
DEMO-00077,8,monsoon,PFZ-06,Veraval Saurashtra Bank,20.6206,70.1512,HBR-VER,37.0,Pomfret,1,Gillnet,Motorized,9.8,19,27.58,1.74,1.64,21.4,SE,3.0,91,8,High,21.2,719.32,777.0,240.0
DEMO-00078,1,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.8808,77.2541,HBR-TUT,151.1,Tuna,1,Trawl,Mechanized Trawler,13.5,8,27.97,1.87,1.76,10.9,NW,1.6,98,12,High,154.2,376.53,5077.0,982.0
DEMO-00079,4,pre_monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.8742,80.1371,HBR-CHN,158.1,Kingfish,0,Ring Seine,Mechanized Trawler,11.3,6,30.11,1.37,0.9,14.3,N,16.0,72,9,Medium,76.0,481.7,5312.0,1028.0
DEMO-00080,2,pre_monsoon,PFZ-06,Veraval Saurashtra Bank,20.5892,70.1571,HBR-VER,38.3,Kingfish,0,Gillnet,Motorized,11.2,17,28.6,2.23,0.34,9.3,E,6.6,91,8,Medium,62.8,449.57,804.0,249.0
DEMO-00081,10,post_monsoon,PFZ-05,Visakhapatnam Deep Front,17.5581,83.7031,HBR-VSK,47.9,Tuna,1,Gillnet,Mechanized Trawler,8.4,14,29.44,2.0,0.68,13.1,E,0.5,87,1,High,108.8,343.35,1609.0,311.0
DEMO-00082,10,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.9183,77.1296,HBR-TUT,147.8,Tuna,1,Hook & Line,Mechanized Trawler,13.4,19,27.61,2.4,2.31,19.7,SE,10.0,98,13,High,38.3,353.42,4966.0,961.0
DEMO-00083,12,post_monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.7895,75.549,HBR-KOC,70.2,Mackerel,1,Trawl,Mechanized Trawler,12.5,17,28.95,1.3,1.7,13.0,S,5.3,94,3,High,139.6,277.32,2359.0,456.0
DEMO-00084,6,monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.9222,80.2163,HBR-CHN,131.2,Kingfish,0,Ring Seine,Mechanized Trawler,14.3,12,29.94,0.92,1.04,24.6,N,31.6,72,3,Medium,33.7,461.44,4408.0,853.0
DEMO-00085,6,monsoon,PFZ-02,Mangaluru Shelf Front,12.7698,74.2923,HBR-MNG,61.9,Kingfish,1,Longline,Mechanized Trawler,12.3,8,28.58,1.22,1.2,18.9,S,14.6,89,6,Medium,36.0,485.82,2080.0,402.0
DEMO-00086,9,monsoon,PFZ-06,Veraval Saurashtra Bank,20.728,70.0918,HBR-VER,33.7,Pomfret,1,Ring Seine,Motorized,7.8,7,26.58,2.07,1.78,21.7,E,9.0,91,16,High,16.8,755.18,708.0,219.0
DEMO-00087,6,monsoon,PFZ-03,Wadge Bank Special Zone,7.7808,77.2481,HBR-TUT,158.6,Sardine,0,Longline,Mechanized Trawler,14.1,7,26.94,1.85,2.02,30.5,W,3.1,98,9,Medium,119.7,146.18,5329.0,1031.0
DEMO-00088,4,pre_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.86,72.9232,HBR-MNG,508.4,Mackerel,1,Gillnet,Mechanized Trawler,12.2,17,29.26,1.98,1.65,8.0,E,30.8,78,2,High,121.1,267.39,17082.0,3305.0
DEMO-00089,2,pre_monsoon,PFZ-02,Mangaluru Shelf Front,12.7534,74.3198,HBR-MNG,54.3,Kingfish,1,Hook & Line,Mechanized Trawler,17.0,5,28.13,0.93,0.77,20.2,E,6.6,89,6,Medium,39.6,483.38,1824.0,353.0
DEMO-00090,9,monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.8661,75.6025,HBR-KOC,79.8,Sardine,1,Gillnet,Mechanized Trawler,11.2,6,28.05,2.1,1.41,15.7,S,0.9,94,1,Medium,232.6,153.92,2681.0,519.0
DEMO-00091,9,monsoon,PFZ-07,Ratnagiri Deep Shelf,16.7978,72.8812,HBR-MNG,468.5,Sardine,0,Ring Seine,Mechanized Trawler,13.6,6,28.44,1.51,1.8,21.9,SE,4.6,78,1,Medium,188.3,147.37,15742.0,3045.0
DEMO-00092,9,monsoon,PFZ-05,Visakhapatnam Deep Front,17.4788,83.6309,HBR-VSK,44.2,Pomfret,0,Gillnet,Mechanized Trawler,11.3,10,28.01,1.84,1.75,26.5,SW,8.9,87,3,High,17.6,718.71,1485.0,287.0
DEMO-00093,11,post_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.7793,72.9292,HBR-MNG,481.2,Mackerel,1,Trawl,Mechanized Trawler,13.5,15,28.62,0.85,0.84,15.4,SE,7.1,78,7,High,147.1,258.43,16168.0,3128.0
DEMO-00094,6,monsoon,PFZ-07,Ratnagiri Deep Shelf,16.819,72.8698,HBR-MNG,460.3,Mackerel,1,Longline,Mechanized Trawler,15.1,19,28.51,1.04,1.48,20.9,N,11.3,78,6,High,62.0,287.84,15466.0,2992.0
DEMO-00095,10,post_monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.7731,75.5616,HBR-KOC,73.7,Tuna,1,Ring Seine,Mechanized Trawler,12.6,4,28.58,2.12,0.74,7.1,W,12.1,94,1,High,247.7,337.1,2476.0,479.0
DEMO-00096,6,monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.8219,80.238,HBR-CHN,127.8,Pomfret,0,Trawl,Mechanized Trawler,11.0,5,29.82,0.89,1.31,22.2,NE,7.6,72,4,High,17.5,763.15,4294.0,831.0
DEMO-00097,12,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.872,77.2255,HBR-TUT,162.0,Mackerel,0,Longline,Mechanized Trawler,13.8,4,28.01,1.93,1.78,10.5,SE,4.0,98,14,High,145.3,281.23,5443.0,1053.0
DEMO-00098,2,pre_monsoon,PFZ-05,Visakhapatnam Deep Front,17.4674,83.676,HBR-VSK,48.8,Tuna,1,Ring Seine,Mechanized Trawler,12.0,4,28.93,1.71,1.14,22.6,S,6.8,87,7,High,152.6,413.35,1640.0,317.0
DEMO-00099,5,pre_monsoon,PFZ-02,Mangaluru Shelf Front,12.6894,74.3184,HBR-MNG,54.3,Kingfish,1,Gillnet,Mechanized Trawler,10.9,14,28.9,1.16,0.75,18.4,SE,0.1,89,4,Medium,54.0,524.39,1824.0,353.0
DEMO-00100,2,pre_monsoon,PFZ-04,Coromandel South (Pondicherry Offshore),11.7905,80.1741,HBR-CHN,161.7,Mackerel,0,Ring Seine,Mechanized Trawler,15.3,17,30.32,1.58,0.81,18.6,NE,23.5,72,8,High,152.1,264.72,5433.0,1051.0
